name_with_owner,url,stars,created_at,pushed_at,closed_issues,total_issues,age_years,age_days,merged_pull_requests,releases,days_since_update,primary_language,closed_issues_ratio
huihut/interview,https://github.com/huihut/interview,38134,2018-02-09T09:49:48+00:00,2025-08-24T07:01:54+00:00,65,67,8.52,3112.54,36,0,359.66,C++,0.9701
ueberdosis/tiptap,https://github.com/ueberdosis/tiptap,38066,2018-08-20T19:58:58+00:00,2026-08-18T19:18:23+00:00,2926,3679,7.99,2920.12,1797,984,0.15,TypeScript,0.7953
xyflow/xyflow,https://github.com/xyflow/xyflow,38048,2019-07-15T14:47:30+00:00,2026-08-18T11:12:27+00:00,2323,2411,7.09,2591.33,1596,384,0.48,TypeScript,0.9635
docker/compose,https://github.com/docker/compose,38046,2013-12-09T11:40:58+00:00,2026-08-18T17:25:45+00:00,8321,8387,12.69,4635.46,3966,284,0.22,Go,0.9921
harness/harness,https://github.com/harness/harness,38011,2014-02-07T07:54:44+00:00,2026-08-17T10:53:47+00:00,1940,2034,12.53,4575.62,1060,59,1.5,Go,0.9538
github/awesome-copilot,https://github.com/github/awesome-copilot,37986,2025-06-11T16:57:39+00:00,2026-08-18T20:51:49+00:00,426,468,1.19,433.24,1256,0,0.08,Python,0.9103
hyprwm/Hyprland,https://github.com/hyprwm/Hyprland,37944,2022-03-16T19:49:13+00:00,2026-08-18T18:37:32+00:00,7663,7714,4.42,1616.12,2928,117,0.17,C++,0.9934
vlang/v,https://github.com/vlang/v,37797,2019-02-08T02:57:06+00:00,2026-08-18T22:14:29+00:00,10720,10758,7.53,2748.83,13792,304,0.02,V,0.9965
FreeCodeCampChina/freecodecamp.cn,https://github.com/FreeCodeCampChina/freecodecamp.cn,37775,2016-09-30T03:13:43+00:00,2023-07-16T16:48:59+00:00,445,588,9.88,3609.82,55,0,1129.25,CSS,0.7568
PostHog/posthog,https://github.com/PostHog/posthog,37750,2020-01-23T22:46:58+00:00,2026-08-18T22:43:09+00:00,7097,10468,6.57,2399.0,54303,899,0.0,Python,0.678
servo/servo,https://github.com/servo/servo,37729,2012-02-08T19:07:25+00:00,2026-08-18T22:27:28+00:00,13415,16344,14.52,5305.15,25736,13,0.01,Rust,0.8208
anthropics/prompt-eng-interactive-tutorial,https://github.com/anthropics/prompt-eng-interactive-tutorial,37707,2024-04-02T15:52:00+00:00,2026-03-01T17:07:40+00:00,4,42,2.38,868.29,1,0,170.24,Jupyter Notebook,0.0952
denysdovhan/wtfjs,https://github.com/denysdovhan/wtfjs,37675,2017-07-14T15:42:12+00:00,2026-07-03T09:48:44+00:00,96,119,9.1,3322.3,127,25,46.54,JavaScript,0.8067
TencentARC/GFPGAN,https://github.com/TencentARC/GFPGAN,37657,2021-03-19T06:18:20+00:00,2024-07-26T18:44:02+00:00,135,510,5.42,1978.69,14,8,753.17,Python,0.2647
